url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Servicio,Garage,Calefacción,Cocina,Año de Construcción,Jardín,Dormitorios Suite,Piscina,Orientación,Plantas,Parrillero,Acepta Mascotas,Superficie Balcones,Disposición,Pisos Edificio,Lavadero,Seguridad,Altura,Aptos por piso,Patio,Muebles,Propiedad Horizontal,Gastos Comúnes,Piso,Ascensor
https://www.casasymas.com.uy/propiedad/89923-casa-en-venta-de-4-dormitorios-en-punta-gorda-montevideo,U$S 398.000Venta,4,2,190 m²,143m²,195m²,,Garaje: 6,,,,,,,Este,2,,,,Frente,2,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/178685-casa-en-venta-de-2-dormitorios-en-carrasco-montevideo,U$S 775.000Venta,2,2,300 m²,199m²,300m²,Dormitorios de Servicio: 1,,,Cocina Definida,1956,,,,Oeste,,,,,Frente,,Lavadero,,,,,,,,,
https://www.casasymas.com.uy/propiedad/230229-venta-punta-gorda-padron-unico-3-dormitorios-servicio-3-banos-gge,U$S 620.000Venta,3,3,355 m²,150m²,355m²,Dormitorios de Servicio: 1,Garaje: 4,AIRES ACONDICIONADOS,Cocina Definida,1960,Jardín,,,Norte,1,Parrillero,Acepta Mascotas,,,,,CAMARAS,,,,,,,,
https://www.casasymas.com.uy/propiedad/206369-casa-en-venta-de-3-dormitorios-en-palermo-montevideo,U$S 128.000Venta,3,2,105 m²,105m²,,,,,Cocina Definida,2025,,,,Este,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/210775-casa-en-venta-de-3-dormitorios-en-malvin-norte-montevideo,U$S 180.000Venta,3,1,360 m²,140m²,360m²,,Garaje: 2,,Cocina Definida,1990,Jardín,,Piscina,,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/223878-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-montevideo,U$S 440.000Venta,3,2,147 m²,126m²,250m²,,Garaje: 1,,,1995,,,,Norte,,,,147m²,Frente,2,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/227514-casa-en-venta-de-3-dormitorios-con-garage-en-buceo-montevideo,U$S 425.000Venta,3,2,240 m²,,489m²,,Garaje: 1,,,,,,,Este,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/231858-casa-en-venta-de-3-dormitorios-en-sayago-montevideo,U$S 135.000Venta,3,2,141 m²,105m²,404m²,,Cochera: 2,,,,,,,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/146602-casa-en-venta-de-2-dormitorios-con-garage-en-sayago-montevideo,U$S 160.000Venta,2,1,191 m²,123m²,191m²,,Cochera: 1,aire acondicionado y estufa,Cocina Integrada,1959,Jardín,,,Oeste,1,Parrillero,Acepta Mascotas,,,,,,,,,,Propiedad Horizontal,,,
https://www.casasymas.com.uy/propiedad/119384-casa-en-venta-de-2-dormitorios-en-cordon-montevideo,U$S 135.000Venta,2,1,57 m²,99m²,57m²,,,,Cocina Definida,,,,,Norte,,,,,Frente,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/213723-casa-en-venta-de-2-dormitorios-con-garage-en-brazo-oriental-montevideo,U$S 178.000Venta,2,2,92 m²,60m²,32m²,,Garaje: 1,,Cocina Definida,2025,Jardín,,,Sur,,,Acepta Mascotas,,,,,,,,Patio,,,,,
